row.names,pathways
AFFX-BioB-5_at,yes
AFFX-BioB-M_at,no
AFFX-BioB-3_at,no
AFFX-BioC-5_at,no
AFFX-BioC-3_at,no
AFFX-BioDn-5_at,no
AFFX-BioDn-3_at,no
AFFX-CreX-5_at,no
AFFX-CreX-3_at,yes
AFFX-DapX-5_at,no
AFFX-DapX-M_at,no
AFFX-DapX-3_at,no
AFFX-LysX-5_at,no
AFFX-LysX-M_at,no
AFFX-LysX-3_at,no
AFFX-PheX-5_at,no
AFFX-PheX-M_at,yes
AFFX-PheX-3_at,no
AFFX-ThrX-5_at,no
AFFX-ThrX-M_at,no
AFFX-ThrX-3_at,no
AFFX-TrpnX-5_at,no
AFFX-TrpnX-M_at,no
AFFX-TrpnX-3_at,no
AFFX-r2-Ec-bioB-5_at,no
AFFX-r2-Ec-bioB-M_at,yes
AFFX-r2-Ec-bioB-3_at,no
AFFX-r2-Ec-bioC-5_at,no
AFFX-r2-Ec-bioC-3_at,no
AFFX-r2-Ec-bioD-5_at,no
AFFX-r2-Ec-bioD-3_at,no
AFFX-r2-P1-cre-5_at,no
AFFX-r2-P1-cre-3_at,no
AFFX-r2-Bs-dap-5_at,yes
AFFX-r2-Bs-dap-M_at,no
AFFX-r2-Bs-dap-3_at,no
AFFX-r2-Bs-lys-5_at,no
AFFX-r2-Bs-lys-M_at,no
AFFX-r2-Bs-lys-3_at,no
AFFX-r2-Bs-phe-5_at,no
AFFX-r2-Bs-phe-M_at,no
AFFX-r2-Bs-phe-3_at,no
AFFX-r2-Bs-thr-3_s_at,yes
AFFX-r2-Bs-thr-M_s_at,no
AFFX-r2-Bs-thr-5_s_at,no
AFFX_Rat_GAPDH_5_at,no
AFFX_Rat_GAPDH_M_at,no
AFFX_Rat_GAPDH_3_at,no
AFFX_Rat_Hexokinase_5_at,no
AFFX_Rat_Hexokinase_M_at,no
AFFX_Rat_Hexokinase_3_at,yes
AFFX_Rat_beta-actin_5_at,no
AFFX_Rat_beta-actin_M_at,no
AFFX_Rat_beta-actin_3_at,no
AFFX_rat_5S_rRNA_at,no
AFFX_ratb1/X12957_at,no
AFFX_ratb2/X14115_at,no
1398749_at,no
1398750_at,yes
1398751_at,no
1398752_at,no
1398753_at,no
1398754_at,no
1398755_at,no
1399158_a_at,no
1398756_at,no
1398757_at,yes
1398758_at,no
1398759_at,no
1398760_at,no
1367452_at,no
1398761_at,no
1398762_at,no
1398763_at,no
1398764_at,yes
1398765_at,no
1398766_at,no
1398767_at,no
1398768_at,no
1398769_at,no
1398770_at,no
1398771_at,no
1398772_at,yes
1367453_at,yes
1398773_at,yes
1398774_at,yes
1398775_at,yes
1398776_at,no
1398777_at,no
1398778_at,no
1398779_at,no
1398780_at,no
1398781_at,no
1398782_at,no
1398783_at,yes
1398784_at,yes
1398785_at,yes
1367454_at,yes
1398786_at,yes
1398787_at,no
1367455_at,no
1398788_at,no
1398789_at,no
1398790_at,no
1398791_at,no
1398792_at,no
1398793_at,yes
1398794_at,yes
1398795_at,yes
1398796_at,yes
1398797_at,no
1398798_at,no
1398799_at,no
1398800_at,no
1398801_at,no
1367456_at,no
1398802_at,no
1398803_at,no
1398804_at,no
1398805_at,no
1398806_at,no
1398807_at,no
1367457_at,no
1398808_at,no
1398809_at,no
1398810_at,no
1398811_at,no
1398812_at,no
1398813_at,no
1398814_at,no
1398815_at,no
1398816_at,no
1367458_at,no
1398817_at,no
1367459_at,no
1398818_at,no
1398819_at,no
1398820_at,no
1398821_s_at,no
1398822_at,no
1367460_at,no
1398823_at,no
1398824_at,no
1398825_at,no
1398826_s_at,no
1399159_a_at,no
1398827_at,no
1398828_at,no
1398829_at,no
1398830_at,no
1398831_at,no
1398832_at,no
1398833_at,no
1367461_at,no
1398834_at,no
1398835_at,no
1398836_s_at,no
1398837_at,no
1398838_at,no
1398839_at,no
1398840_at,no
1398841_at,no
1398842_at,no
1398843_at,no
1398844_at,no
1398845_at,no
1398846_at,no
1398847_at,no
1398848_at,no
1398849_at,no
1398850_at,no
1398851_at,no
1398852_at,no
1398853_at,no
1398854_at,no
1398855_at,no
1398856_at,no
1398857_at,no
1398858_at,no
1398859_at,no
1398860_at,no
1398861_at,no
1398862_at,no
1398863_at,no
1398864_at,no
1399160_a_at,no
1399161_a_at,no
1398865_at,no
1398866_at,no
1398867_at,no
1367462_at,no
1398868_at,no
1398869_at,no
1398870_at,no
1398871_at,no
1398872_at,no
1398873_at,no
1367463_at,no
1398874_at,no
1398875_at,no
1398876_at,no
1398877_at,no
1367464_at,no
1398878_at,no
1398879_at,no
1398880_at,no
1399162_a_at,no
1398881_at,no
1367465_at,no
1398882_at,no
1367466_at,no
1398883_at,no
1367467_at,no
1367468_at,no
1398884_at,no
1398885_at,no
1398886_at,no
1398887_at,no
1367469_at,no
1398888_at,no
