gene ID, scores,case1,case2,case3,case4,case5
17,0.65033,PATHWAY,NO,NO,NO,NO
42,0.65033,PATHWAY,NO,PATHWAY,NO,NO
29,0.43832,PATHWAY,NO,NO,NO,NO
30,0.43832,PATHWAY,NO,NO,NO,NO
159,0.43366,NO,NO,PATHWAY,NO,PATHWAY1
178,0.43366,NO,NO,NO,NO,PATHWAY1
2,0.42008,PATHWAY,NO,PATHWAY,NO,PATHWAY2
179,0.415,NO,NO,NO,NO,PATHWAY1
158,0.41254,NO,NO,NO,NO,PATHWAY1
157,0.37211,NO,NO,NO,PATHWAY,PATHWAY1
3,0.33077,PATHWAY,NO,NO,NO,NO
4,0.32658,NO,NO,PATHWAY,NO,PATHWAY2
31,0.32658,PATHWAY,NO,NO,NO,NO
32,0.31355,PATHWAY,NO,PATHWAY,NO,NO
11,0.2978,PATHWAY,NO,PATHWAY,NO,NO
33,0.2978,PATHWAY,NO,NO,NO,NO
156,0.28828,NO,NO,PATHWAY,NO,PATHWAY1
171,0.27826,NO,NO,NO,NO,PATHWAY1
172,0.27826,NO,NO,PATHWAY,NO,PATHWAY1
44,0.27663,PATHWAY,NO,NO,NO,NO
45,0.27663,PATHWAY,NO,NO,NO,NO
28,0.2665,PATHWAY,NO,PATHWAY,NO,PATHWAY2
154,0.26388,NO,NO,NO,NO,PATHWAY1
155,0.26388,NO,NO,NO,NO,PATHWAY1
144,0.24708,NO,NO,NO,NO,NO
148,0.24708,NO,PATHWAY,NO,NO,NO
153,0.23537,NO,NO,PATHWAY,PATHWAY,PATHWAY1
12,0.2312,PATHWAY,NO,NO,NO,PATHWAY2
13,0.2312,PATHWAY,NO,NO,NO,NO
46,0.22299,PATHWAY,NO,PATHWAY,NO,NO
14,0.21742,PATHWAY,NO,PATHWAY,NO,NO
22,0.21547,NO,NO,PATHWAY,NO,NO
47,0.21547,PATHWAY,NO,NO,NO,NO
152,0.21043,NO,NO,NO,PATHWAY,PATHWAY1
43,0.20782,PATHWAY,NO,PATHWAY,NO,NO
86,0.20701,NO,NO,NO,NO,NO
88,0.20701,NO,NO,NO,NO,NO
106,0.20331,NO,NO,NO,NO,NO
107,0.20331,NO,NO,PATHWAY,NO,NO
23,0.20314,NO,NO,NO,NO,PATHWAY2
10,0.19493,PATHWAY,NO,NO,NO,PATHWAY2
34,0.19493,PATHWAY,NO,PATHWAY,NO,NO
130,0.19234,NO,PATHWAY,NO,NO,NO
132,0.19234,NO,PATHWAY,NO,NO,NO
6,0.18547,PATHWAY,NO,NO,NO,NO
72,0.18186,NO,NO,PATHWAY,NO,NO
73,0.18186,NO,NO,NO,NO,NO
19,0.18051,PATHWAY,NO,PATHWAY,NO,PATHWAY2
20,0.18051,PATHWAY,NO,NO,NO,NO
55,0.17898,NO,NO,NO,NO,NO
56,0.17898,NO,NO,NO,NO,NO
93,0.17651,NO,NO,NO,NO,NO
119,0.17651,NO,NO,NO,NO,NO
37,0.17432,PATHWAY,NO,PATHWAY,NO,NO
38,0.17432,PATHWAY,NO,NO,NO,NO
25,0.17269,PATHWAY,NO,NO,NO,NO
26,0.17269,NO,NO,NO,NO,PATHWAY2
103,0.16987,NO,NO,NO,NO,NO
108,0.16987,NO,NO,NO,NO,NO
173,0.15477,NO,NO,NO,NO,PATHWAY1
151,0.15464,NO,NO,PATHWAY,NO,PATHWAY1
48,0.15448,PATHWAY,NO,NO,NO,NO
164,0.15328,NO,NO,NO,PATHWAY,PATHWAY1
168,0.15328,NO,NO,NO,NO,NO
160,0.15318,NO,NO,PATHWAY,NO,PATHWAY1
177,0.15318,NO,NO,NO,NO,PATHWAY1
21,0.15303,PATHWAY,NO,PATHWAY,NO,NO
15,0.15167,PATHWAY,NO,NO,NO,PATHWAY2
96,0.15153,NO,NO,NO,NO,NO
101,0.15153,NO,NO,NO,NO,NO
147,0.14836,NO,PATHWAY,PATHWAY,NO,NO
24,0.14558,PATHWAY,NO,NO,NO,NO
167,0.14553,NO,NO,PATHWAY,PATHWAY,PATHWAY1
57,0.14319,NO,NO,PATHWAY,NO,NO
58,0.14319,NO,NO,NO,NO,NO
18,0.14306,NO,NO,NO,NO,NO
16,0.14129,PATHWAY,NO,NO,NO,NO
71,0.13988,NO,NO,NO,NO,NO
85,0.13915,NO,NO,PATHWAY,NO,NO
84,0.13787,NO,NO,NO,NO,NO
27,0.13739,PATHWAY,NO,PATHWAY,NO,NO
137,0.13703,NO,PATHWAY,PATHWAY,NO,NO
139,0.13703,NO,NO,NO,NO,NO
74,0.1352,NO,NO,NO,PATHWAY,NO
75,0.1352,NO,NO,PATHWAY,NO,NO
7,0.13294,NO,NO,PATHWAY,NO,NO
78,0.13225,NO,NO,NO,NO,NO
82,0.13225,NO,NO,PATHWAY,NO,NO
161,0.13161,NO,NO,NO,NO,NO
146,0.12841,NO,PATHWAY,NO,NO,NO
87,0.12811,NO,NO,PATHWAY,NO,NO
174,0.12413,NO,NO,NO,PATHWAY,PATHWAY1
165,0.12172,NO,NO,PATHWAY,NO,PATHWAY1
166,0.1203,NO,NO,NO,NO,PATHWAY1
170,0.12018,NO,PATHWAY,PATHWAY,PATHWAY,PATHWAY1
35,0.11951,PATHWAY,NO,NO,NO,NO
89,0.11873,NO,PATHWAY,PATHWAY,NO,NO
90,0.11873,NO,PATHWAY,NO,NO,NO
70,0.1184,PATHWAY,NO,PATHWAY,NO,NO
136,0.11706,NO,PATHWAY,NO,NO,NO
9,0.11703,PATHWAY,NO,PATHWAY,NO,NO
8,0.11605,NO,NO,NO,NO,PATHWAY2
176,0.11573,NO,NO,NO,NO,NO
169,0.1145,NO,PATHWAY,NO,NO,NO
39,0.11234,NO,NO,NO,NO,NO
40,0.11234,PATHWAY,NO,PATHWAY,NO,NO
150,0.1106,NO,PATHWAY,PATHWAY,NO,NO
60,0.11056,NO,NO,PATHWAY,NO,NO
145,0.11013,NO,PATHWAY,NO,NO,NO
135,0.10744,NO,PATHWAY,NO,NO,NO
140,0.10744,NO,PATHWAY,PATHWAY,NO,NO
98,0.10645,NO,NO,NO,NO,NO
99,0.10645,NO,NO,NO,NO,NO
5,0.10505,PATHWAY,NO,NO,NO,NO
162,0.10483,NO,PATHWAY,PATHWAY,PATHWAY,PATHWAY1
163,0.10483,NO,PATHWAY,NO,PATHWAY,PATHWAY1
175,0.10431,NO,NO,PATHWAY,PATHWAY,PATHWAY1
149,0.10337,NO,PATHWAY,NO,NO,NO
59,0.10209,NO,NO,NO,NO,NO
142,0.10085,NO,PATHWAY,PATHWAY,NO,NO
143,0.10085,NO,PATHWAY,NO,NO,NO
36,0.09899,PATHWAY,NO,NO,NO,NO
128,0.0972,NO,PATHWAY,NO,PATHWAY,NO
131,0.0972,NO,NO,PATHWAY,PATHWAY,NO
83,0.09652,NO,NO,NO,NO,NO
91,0.09646,NO,NO,PATHWAY,NO,NO
92,0.09646,NO,NO,NO,NO,NO
127,0.09642,NO,PATHWAY,PATHWAY,PATHWAY,NO
138,0.09565,NO,PATHWAY,NO,PATHWAY,NO
63,0.09506,NO,NO,NO,PATHWAY,NO
66,0.09506,NO,NO,NO,PATHWAY,NO
81,0.09379,NO,NO,NO,PATHWAY,NO
141,0.09322,NO,PATHWAY,NO,PATHWAY,NO
41,0.09224,PATHWAY,NO,NO,NO,NO
109,0.09131,NO,NO,NO,NO,NO
129,0.09014,NO,PATHWAY,PATHWAY,NO,NO
62,0.08828,NO,NO,PATHWAY,NO,NO
134,0.08798,NO,PATHWAY,PATHWAY,PATHWAY,NO
67,0.08347,NO,NO,PATHWAY,PATHWAY,NO
122,0.08297,NO,PATHWAY,PATHWAY,NO,NO
124,0.08297,NO,NO,NO,NO,NO
77,0.08264,NO,NO,PATHWAY,PATHWAY,NO
110,0.08114,NO,NO,PATHWAY,PATHWAY,NO
115,0.07915,NO,PATHWAY,NO,NO,NO
80,0.07853,NO,NO,PATHWAY,NO,NO
105,0.07745,NO,NO,NO,NO,NO
50,0.07668,NO,NO,NO,NO,NO
51,0.07668,NO,NO,PATHWAY,NO,NO
100,0.0751,NO,NO,PATHWAY,PATHWAY,NO
61,0.07366,NO,NO,NO,PATHWAY,NO
111,0.07366,NO,NO,NO,NO,NO
118,0.07344,NO,NO,NO,NO,NO
104,0.07317,NO,NO,NO,NO,NO
121,0.07317,NO,PATHWAY,NO,PATHWAY,NO
125,0.07211,NO,NO,PATHWAY,PATHWAY,NO
112,0.07086,NO,NO,PATHWAY,NO,NO
53,0.06991,NO,NO,PATHWAY,NO,NO
64,0.06934,NO,NO,NO,NO,NO
65,0.06934,NO,NO,NO,PATHWAY,NO
94,0.06788,NO,NO,PATHWAY,PATHWAY,NO
113,0.06715,NO,NO,NO,NO,NO
97,0.06676,NO,NO,PATHWAY,PATHWAY,NO
114,0.06676,NO,NO,PATHWAY,PATHWAY,NO
123,0.06595,NO,NO,NO,NO,NO
76,0.06503,NO,NO,NO,NO,NO
133,0.06464,NO,NO,NO,NO,NO
79,0.06437,NO,NO,NO,PATHWAY,NO
49,0.06322,NO,NO,PATHWAY,PATHWAY,NO
52,0.063,NO,NO,NO,NO,NO
120,0.06118,NO,NO,PATHWAY,PATHWAY,NO
102,0.05846,NO,NO,PATHWAY,PATHWAY,NO
126,0.05833,NO,NO,NO,NO,NO
54,0.05781,NO,NO,NO,NO,NO
69,0.05739,NO,NO,NO,PATHWAY,NO
95,0.05739,NO,NO,NO,PATHWAY,NO
68,0.05726,NO,NO,NO,NO,NO
