gene ENTREZ ID, scores
4312,0.42008
8318,0.33077
10874,0.32658
55143,0.10505
55388,0.18547
991,0.13294
6280,0.11605
2305,0.11703
9493,0.19493
1062,0.2978
3868,0.2312
4605,0.2312
9833,0.21742
9133,0.15167
6279,0.14129
10403,0.65033
8685,0.14306
597,0.18051
7153,0.18051
23397,0.15303
6278,0.21547
79733,0.20314
259266,0.14558
1381,0.17269
3627,0.17269
27074,0.13739
6241,0.2665
55165,0.43832
9787,0.43832
7368,0.32658
11065,0.31355
55355,0.2978
9582,0.19493
220134,0.11951
220134,0.09899
55872,0.17432
51203,0.17432
3669,0.11234
83461,0.11234
22974,0.09224
10460,0.65033
10563,0.20782
4751,0.27663
6373,0.27663
8140,0.22299
79019,0.21547
820,0.15448
10635,0.06322
1844,0.07668
4283,0.07668
27299,0.063
55839,0.06991
27338,0.05781
890,0.17898
9415,0.17898
983,0.14319
54821,0.14319
10232,0.10209
4085,0.11056
6362,0.07366
6362,0.08828
6362,0.09506
9837,0.06934
5080,0.06934
7850,0.09506
81930,0.08347
5918,0.05726
81620,0.05739
332,0.1184
55765,0.13988
79605,0.18186
3832,0.18186
6286,0.1352
5163,0.1352
2146,0.06503
3002,0.08264
50852,0.13225
7272,0.06437
2568,0.07853
64151,0.09379
51806,0.13225
366,0.09652
2842,0.13787
9212,0.13915
140578,0.20701
51659,0.12811
8715,0.20701
4902,0.11873
8208,0.11873
1111,0.09646
9319,0.09646
9055,0.17651
3833,0.06788
3833,0.05739
3833,0.15153
3833,0.06676
146909,0.10645
23475,0.10645
4321,0.0751
